ATA_ID;DATA;INICIO;TERMINO;DURACAO
ATA001;17/03/2020;10:00;11:00;01:00
ATA002;18/03/2020;10:00;11:00;01:00
ATA003;19/03/2020;10:00;11:00;01:00
ATA004;20/03/2020;10:00;11:00;01:00
ATA005;23/03/2020;10:00;11:00;01:00
ATA006;24/03/2020;10:00;11:00;01:00
ATA007;25/03/2020;10:00;11:00;01:00
ATA008;26/03/2020;10:00;11:00;01:00
ATA009;27/03/2020;10:00;11:00;01:00
ATA010;30/03/2020;10:00;11:00;01:00
ATA011;31/03/2020;10:00;11:00;01:00
ATA012;01/03/2020;10:00;11:00;01:00
ATA013;02/03/2020;10:00;11:00;01:00
ATA014;03/03/2020;10:00;11:00;01:00
ATA015;06/03/2020;10:00;11:00;01:00
ATA016;07/03/2020;10:00;11:00;01:00
ATA017;08/03/2020;10:00;11:00;01:00
ATA018;09/03/2020;10:00;11:00;01:00
ATA019;13/03/2020;10:00;11:00;01:00
ATA020;11/03/2020;10:00;11:00;01:00
ATA021;15/03/2020;10:00;11:00;01:00
ATA022;16/04/2020;10:00;11:00;01:00
ATA023;17/04/2020;10:00;11:00;01:00
ATA024;20/04/2020;10:00;11:00;01:00
ATA025;22/04/2020;10:00;11:00;01:00
ATA026;23/04/2020;10:00;11:00;01:00
ATA027;24/04/2020;10:25;11:00;00:35
ATA028;27/04/2020;10:00;11:00;01:00
ATA029;28/04/2020;10:08;11:00;00:52
ATA030;29/04/2020;10:06;11:00;00:54
ATA031;30/04/2020;10:10;10:47;00:37
ATA032;04/05/2020;10:07;10:43;00:36
ATA033;05/05/2020;10:04;10:42;00:38
ATA034;06/05/2020;10:08;10:45;00:37
ATA035;07/05/2020;10:10;11:10;01:00
ATA036;08/05/2020;10:10;10:35;00:25
ATA037;11/05/2020;10:20;10:45;00:25
ATA038;12/05/2020;10:03;10:31;00:28
ATA039;13/05/2020;10:11;10:56;00:45
ATA040;14/05/2020;10:10;10:46;00:36
ATA041;15/05/2020;10:06;10:30;00:24
ATA042;18/05/2020;10:10;11:12;01:02
ATA043;20/05/2020;10:05;10:38;00:33
ATA044;22/05/2020;10:05;10:42;00:37
ATA045;25/05/2020;10:10;10:42;00:32
ATA046;27/05/2020;10:05;10:50;00:45
ATA047;29/05/2020;10:07;10:40;00:33
ATA048;01/06/2020;10:05;10:41;00:36
ATA049;03/06/2020;10:11;10:30;00:19
