ATA_ID;ID;CONTEUDO
ATA001;1;1ª Reunião Ordinária do Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA002;17;2ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA003;30;3ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA004;40;4ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA005;62;5ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA006;75;6ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA007;91;7ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA008;107;8ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA009;123;9ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA010;140;10ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA011;156;11ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA012;172;12ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA013;188;13ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA014;204;14ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA015;223;15ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA016;245;16ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA017;264;17ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA018;289;18ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA019;305;19ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA020;321;20ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA021;340;21ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA022;359;22ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA023;378;23ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA024;397;24ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA025;416;25ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA026;435;26ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA027;454;27ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA028;473;28ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA029;489;29ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA030;508;30ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA031;527;31ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA032;546;32ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA033;562;33ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA034;573;34ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA035;592;35ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA036;614;36ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA037;630;37ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA038;640;38ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA039;656;39ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA040;675;40ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA041;685;41ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA042;695;42ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA043;706;43ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA044;716;44ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA045;727;45ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA046;737;46ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA047;747;47ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA048;757;48ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA049;768;49ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA050;778;50ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA051;788;51ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
ATA052;797;52ª Reunião Ordinária d o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid -19 
