ATA_ID;ID;DATA;mês;Ministério;Categoria
ATA007;96;25/03/2020;mar/20;ABIN;INFORMES
ATA012;183;01/03/2020;mar/20;ABIN;INFORMES
ATA016;256;07/03/2020;mar/20;ABIN;INFORMES
ATA017;284;08/03/2020;mar/20;ABIN;SEM CONSIDERAÇÕES
ATA018;300;09/03/2020;mar/20;ABIN;SEM CONSIDERAÇÕES
ATA019;316;13/03/2020;mar/20;ABIN;INFORMES
ATA030;519;29/04/2020;abr/20;ABIN;SEM CONSIDERAÇÕES
ATA031;538;30/04/2020;abr/20;ABIN;SEM CONSIDERAÇÕES
ATA032;554;04/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA033;568;05/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA034;581;06/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA035;606;07/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA036;625;08/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA037;636;11/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA038;648;12/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA039;661;13/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA040;680;14/05/2020;mai/20;ABIN;INFORMES
ATA041;691;15/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA042;701;18/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA043;712;20/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA044;722;22/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA045;733;25/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA046;743;27/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA047;753;29/05/2020;mai/20;ABIN;SEM CONSIDERAÇÕES
ATA048;763;01/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA049;774;03/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA050;783;05/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA051;793;08/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA052;802;10/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA053;812;15/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA054;823;17/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA055;836;19/06/2020;jun/20;ABIN;INFORMES
ATA056;846;22/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA057;857;24/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA058;867;26/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA059;878;29/06/2020;jun/20;ABIN;SEM CONSIDERAÇÕES
ATA060;889;01/07/2020;jul/20;ABIN;SEM CONSIDERAÇÕES
ATA061;898;03/07/2020;jul/20;ABIN;SEM CONSIDERAÇÕES
ATA062;907;06/07/2020;jul/20;ABIN;SEM CONSIDERAÇÕES
ATA063;916;08/07/2020;jul/20;ABIN;SEM CONSIDERAÇÕES
ATA064;927;10/07/2020;jul/20;ABIN;SEM CONSIDERAÇÕES
ATA065;937;13/07/2020;jul/20;ABIN;AUSENTE
ATA066;948;15/07/2020;jul/20;ABIN;AUSENTE
ATA067;959;17/07/2020;jul/20;ABIN;AUSENTE
ATA068;968;20/07/2020;jul/20;ABIN;INFORMES
ATA069;978;22/07/2020;jul/20;ABIN;INFORMES
ATA070;988;24/07/2020;jul/20;ABIN;INFORMES
ATA071;999;27/07/2020;jul/20;ABIN;INFORMES
ATA072;1009;29/07/2020;jul/20;ABIN;INFORMES
ATA073;1021;31/07/2020;jul/20;ABIN;INFORMES
ATA074;1030;03/08/2020;ago/20;ABIN;INFORMES
ATA075;1040;05/08/2020;ago/20;ABIN;INFORMES
ATA076;1051;07/08/2020;ago/20;ABIN;INFORMES
ATA077;1061;10/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA078;1069;12/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA079;1080;14/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA080;1090;17/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA081;1100;19/08/2020;ago/20;ABIN;INFORMES
ATA082;1110;21/08/2020;ago/20;ABIN;INFORMES
ATA083;1121;24/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA084;1132;26/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA085;1142;28/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA086;1152;31/08/2020;ago/20;ABIN;SEM CONSIDERAÇÕES
ATA087;1164;02/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA088;1174;04/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA089;1185;09/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA090;1196;11/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA091;1206;14/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA092;1216;16/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA093;1226;18/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA094;1236;21/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA095;1247;23/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA096;1258;25/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA097;1269;28/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA098;1280;30/09/2020;set/20;ABIN;SEM CONSIDERAÇÕES
ATA099;1291;02/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA100;1302;05/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA101;1312;07/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA102;1322;09/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA103;1332;14/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA104;1342;16/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA105;1352;16/10/2020;out/20;ABIN;AUSENTE
ATA106;1362;21/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA107;1372;23/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA108;1382;26/10/2020;out/20;ABIN;SEM CONSIDERAÇÕES
ATA109;1392;28/10/2020;out/20;ABIN;AUSENTE
ATA110;1402;04/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA111;1412;06/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA112;1422;09/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA113;1432;11/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA114;1443;13/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA115;1453;16/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
ATA116;1464;18/11/2020;nov/20;ABIN;SEM CONSIDERAÇÕES
